id,category,brand,name,model_name,image_url,monthly_price,max_card_discount,final_price,contracts,management,features,purposes,recommended,popular,source_url,verified_at,data_status,active,display_order
coway-ap-1125g,공기청정기,코웨이,스퀘어핏 공기청정기 11.5평형,AP-1125G,/rental/products/coway-ap-1125g.webp,16400,16400,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,11.5평형|청정|스탠드형,가성비|신혼부부,true,true,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,601
coway-ap-1023f,공기청정기,코웨이,싱글파워 공기청정기 10평형 화이트,AP-1023F,/rental/products/coway-ap-1023f.webp,18400,18400,0,3년|5년|6년|7년,2개월 방문|4개월 방문,10평형|싱글파워|스탠드형,가성비|신혼부부,false,true,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,602
coway-ap-1526a,공기청정기,코웨이,스퀘어핏 공기청정기 15평형,AP-1526A,/rental/products/coway-ap-1526a.webp,19400,19400,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,15평형|펫필터|알러젠케어,아이 있는 집|신혼부부,true,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,603
coway-ap-2026b,공기청정기,코웨이,스퀘어핏 공기청정기 20평형,AP-2026B,/rental/products/coway-ap-2026b.webp,22400,22400,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,20평형|대형공간|탈취필터,아이 있는 집|부모님,false,true,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,604
coway-aph-0525f,공기청정기,코웨이,히티브 온풍 공기청정기 5평형,APH-0525F,/rental/products/coway-aph-0525f.webp,24400,24400,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,5평형|온풍|공기청정,신혼부부|부모님,true,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,605
coway-ap-2425h,공기청정기,코웨이,스퀘어핏 공기청정기 24.8평형,AP-2425H,/rental/products/coway-ap-2425h.webp,25400,25400,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,24.8평형|대형공간|스퀘어 디자인,아이 있는 집|업소용,false,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,606
coway-ap-1225f,공기청정기,코웨이,벽걸이 공기청정기2 12평형,AP-1225F,/rental/products/coway-ap-1225f.webp,27900,27900,0,3년|5년,2개월 방문|4개월 방문,12평형|벽걸이|공간절약,가성비|업소용,false,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,607
coway-apm-1226h,공기청정기,코웨이,듀얼클린 가습 공기청정기2 12평형,APM-1226H,/rental/products/coway-apm-1226h.webp,27900,27900,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,12평형|가습|공기청정,아이 있는 집|부모님,true,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,608
coway-ap-1523d,공기청정기,코웨이,멀티액션 공기청정기2 15평형 화이트,AP-1523D,/rental/products/coway-ap-1523d.webp,27900,27900,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,15평형|멀티액션|펫필터,아이 있는 집|부모님,false,true,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,609
coway-ap-1019d,공기청정기,코웨이,아이콘 공기청정기 10평형,AP-1019D,/rental/products/coway-ap-1019d.webp,27900,27900,0,3년|5년|6년|7년,2개월 방문|4개월 방문,10평형|아이콘 디자인|공기질 표시,신혼부부|부모님,false,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,610
